code	name	shortFileName	action	object
332618	Other Fabricated Wire Product Manufacturing	FabricatedWire	Manufacture	Fabricated Wire
332710	Machine Shops	MachineShops	Machine	Machine Shops
332721	Precision Turned Product Manufacturing	PrecisionTurned	Machine	Precision Turned
332722	Bolt, Nut, Screw, Rivet, and Washer Manufacturing	Bolt	Machine	Bolt
332811	Metal Heat Treating	MetalHeat	Coat	Metal Heat
332812	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers	MetalCoating	Coat	Metal Coating
332813	Electroplating, Plating, Polishing, Anodizing, and Coloring	Electroplating	Coat	Electroplating
332911	Industrial Valve Manufacturing	IndustrialValve	Fabricate	Industrial Valve
332912	Fluid Power Valve and Hose Fitting Manufacturing	FluidPower	Fabricate	Fluid Power
332913	Plumbing Fixture Fitting and Trim Manufacturing	PlumbingFixture	Fabricate	Plumbing Fixture
332919	Other Metal Valve and Pipe Fitting Manufacturing	MetalValve	Fabricate	Metal Valve
332991	Ball and Roller Bearing Manufacturing	BallRoller	Fabricate	Ball Roller
332992	Small Arms Ammunition Manufacturing	SmallArms	Fabricate	Small Arms
332993	Ammunition (except Small Arms) Manufacturing	Ammunition	Fabricate	Ammunition
332994	Small Arms, Ordnance, and Ordnance Accessories Manufacturing	SmallArms	Fabricate	Small Arms
332996	Fabricated Pipe and Pipe Fitting Manufacturing	FabricatedPipe	Fabricate	Fabricated Pipe
332999	All Other Miscellaneous Fabricated Metal Product Manufacturing	FabricatedMetal	Fabricate	Fabricated Metal
333111	Farm Machinery and Equipment Manufacturing	FarmMachinery	Manufacture	Farm Machinery
333112	Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing	LawnGarden	Manufacture	Lawn Garden
333120	Construction Machinery Manufacturing	ConstructionMachinery	Manufacture	Construction Machinery
333131	Mining Machinery and Equipment Manufacturing	MiningMachinery	Manufacture	Mining Machinery
333132	Oil and Gas Field Machinery and Equipment Manufacturing	OilGas	Manufacture	Oil Gas
